feature,importance,horizon
demand_roll7,1206,7
demand_roll3,876,7
gauge_exceed,731,7
rainfall_lag1,688,7
rainfall_lag3,651,7
rainfall_mm,606,7
gauge_lag3,599,7
rainfall_lag14,584,7
demand_roll14,522,7
demand_roll30,514,7
gauge_lag7,464,7
rainfall_lag7,446,7
rainfall_roll7,440,7
rainfall_roll3,422,7
gauge_lag14,419,7
rainfall_roll30,405,7
gauge_trend_7,389,7
river_gauge_m,384,7
gauge_lag1,378,7
rainfall_roll14,314,7
sin_doy,297,7
past_incident_30d,248,7
cos_doy,105,7
distance_to_coast_km,101,7
road_accessibility_index,70,7
danger_gauge_m,67,7
population_density,52,7
district_cat,22,7
is_monsoon,0,7
is_cyclone_season,0,7
demand_roll14,1508,14
demand_roll7,816,14
gauge_lag7,742,14
demand_roll30,707,14
rainfall_lag14,635,14
rainfall_lag1,593,14
rainfall_lag3,562,14
demand_roll3,517,14
rainfall_mm,500,14
rainfall_lag7,492,14
gauge_lag14,477,14
gauge_trend_7,469,14
past_incident_30d,458,14
rainfall_roll30,441,14
rainfall_roll14,415,14
gauge_lag1,385,14
rainfall_roll3,377,14
rainfall_roll7,314,14
sin_doy,312,14
gauge_lag3,296,14
river_gauge_m,266,14
gauge_exceed,254,14
cos_doy,119,14
distance_to_coast_km,105,14
danger_gauge_m,93,14
population_density,62,14
road_accessibility_index,48,14
district_cat,34,14
is_cyclone_season,3,14
is_monsoon,0,14
demand_roll30,1883,30
demand_roll14,758,30
gauge_lag14,723,30
past_incident_30d,617,30
demand_roll3,589,30
rainfall_lag14,560,30
rainfall_lag1,545,30
rainfall_mm,530,30
rainfall_lag7,507,30
demand_roll7,494,30
rainfall_roll30,487,30
gauge_trend_7,466,30
rainfall_lag3,457,30
sin_doy,445,30
gauge_lag7,410,30
gauge_lag3,365,30
rainfall_roll3,322,30
gauge_lag1,305,30
rainfall_roll14,285,30
gauge_exceed,279,30
rainfall_roll7,272,30
river_gauge_m,266,30
danger_gauge_m,120,30
distance_to_coast_km,92,30
cos_doy,82,30
road_accessibility_index,56,30
population_density,41,30
district_cat,37,30
is_monsoon,6,30
is_cyclone_season,1,30
